Time,LSeg,Action,Indicator,Score
오후 4:38:38,L-C 소비형,야간유흥,활동/소비(Impulse),50
오후 4:38:38,L-M 이동형,KTX예매,이동/변화(Shift),64
오후 4:38:36,L-S 안정형,편의점,기초생활(Living),70
오후 4:38:36,L-S 안정형,편의점,기초생활(Living),68
오후 4:38:36,L-S 안정형,편의점,기초생활(Living),68
오후 4:38:36,L-S 안정형,편의점,기초생활(Living),67
오후 4:38:35,L-S 안정형,편의점,기초생활(Living),68
오후 4:38:35,L-S 안정형,편의점,기초생활(Living),68
오후 4:38:35,L-S 안정형,편의점,기초생활(Living),68
오후 4:38:34,L-S 안정형,편의점,기초생활(Living),68
오후 4:38:34,L-S 안정형,편의점,기초생활(Living),68
오후 4:38:34,L-S 안정형,편의점,기초생활(Living),69
오후 4:38:34,L-S 안정형,편의점,기초생활(Living),66
오후 4:38:34,L-S 안정형,편의점,기초생활(Living),65
오후 4:38:33,L-S 안정형,편의점,기초생활(Living),65
오후 4:38:33,L-S 안정형,편의점,기초생활(Living),62
오후 4:38:33,L-S 안정형,편의점,기초생활(Living),61
오후 4:38:29,L-S 안정형,연금가입,명예/승진(Career),61
오후 4:38:28,L-S 안정형,연금가입,명예/승진(Career),52
오후 4:38:28,L-S 안정형,연금가입,명예/승진(Career),41
오후 4:38:28,L-S 안정형,연금가입,명예/승진(Career),31
오후 4:38:27,L-S 안정형,연금가입,명예/승진(Career),20
오후 4:38:27,L-S 안정형,연금가입,명예/승진(Career),10
오후 4:38:26,L-C 소비형,야간유흥,활동/소비(Impulse),0
오후 4:38:26,L-C 소비형,야간유흥,활동/소비(Impulse),0
오후 4:38:26,L-C 소비형,야간유흥,활동/소비(Impulse),0
오후 4:38:25,L-C 소비형,야간유흥,활동/소비(Impulse),0
오후 4:38:24,L-M 이동형,KTX예매,이동/변화(Shift),0
오후 4:38:24,L-M 이동형,KTX예매,이동/변화(Shift),0
오후 4:38:22,L-M 이동형,KTX예매,이동/변화(Shift),0
오후 4:38:22,L-M 이동형,KTX예매,이동/변화(Shift),0
오후 4:38:21,L-M 이동형,KTX예매,이동/변화(Shift),0
오후 4:38:20,L-M 이동형,KTX예매,이동/변화(Shift),0
오후 4:38:19,L-M 이동형,KTX예매,이동/변화(Shift),0
오후 4:38:18,L-M 이동형,KTX예매,이동/변화(Shift),0
오후 4:38:17,L-W 투자형,비상금대출,재물/사업(Asset),0
오후 4:38:16,L-W 투자형,비상금대출,재물/사업(Asset),0
오후 4:38:16,L-W 투자형,비상금대출,재물/사업(Asset),0
오후 4:38:15,L-W 투자형,비상금대출,재물/사업(Asset),0
오후 4:38:14,L-W 투자형,비상금대출,재물/사업(Asset),0
오후 4:38:14,L-W 투자형,비상금대출,재물/사업(Asset),3
오후 4:38:13,L-W 투자형,비상금대출,재물/사업(Asset),23
오후 4:38:12,L-W 투자형,비상금대출,재물/사업(Asset),42
오후 4:38:10,L-S 안정형,편의점,기초생활(Living),61
오후 4:38:09,L-S 안정형,편의점,기초생활(Living),59
오후 4:38:08,L-S 안정형,편의점,기초생활(Living),58
오후 4:37:53,L-C 소비형,야간유흥,활동/소비(Impulse),56
오후 4:37:52,L-S 안정형,편의점,기초생활(Living),69
오후 4:37:51,L-C 소비형,야간유흥,활동/소비(Impulse),69
오후 4:37:33,L-S 안정형,연금가입,명예/승진(Career),80
오후 4:37:31,L-S 안정형,연금가입,명예/승진(Career),70
오후 4:37:30,L-S 안정형,연금가입,명예/승진(Career),61
오후 4:37:30,L-S 안정형,연금가입,명예/승진(Career),53
오후 4:37:28,L-M 이동형,KTX예매,이동/변화(Shift),41
오후 4:37:26,L-C 소비형,야간유흥,활동/소비(Impulse),47
오후 4:36:52,L-S 안정형,연금가입,명예/승진(Career),60
오후 4:36:50,L-M 이동형,KTX예매,이동/변화(Shift),48
오후 4:36:49,L-S 안정형,편의점,기초생활(Living),53
오후 4:36:47,L-C 소비형,야간유흥,활동/소비(Impulse),51
오후 4:36:46,L-W 투자형,비상금대출,재물/사업(Asset),64
