Time,User,Archetype,Action,Detail,Fate,Score,Grade,AutoAction
"오후 2:28:48","User_82****","슈퍼 프라임 (ENTJ)","이동/이사","항공/이사","명예운 합(승진/명예)","97","N1","맞춤 상품 추천"
"오후 2:28:48","User_82****","안정적 관리자 (ISTJ)","이동/이사","항공/이사","명예운 합(승진/명예)","84","N1","맞춤 상품 추천"
"오후 2:28:46","User_82****","안정적 관리자 (ISTJ)","이동/이사","항공/이사","명예운 충(구설수)","71","N2","맞춤 상품 추천"
"오후 2:28:45","User_82****","흔들리는 갈대 (ISFP)","이동/이사","항공/이사","명예운 충(구설수)","58","N3","맞춤 상품 추천"
"오후 2:28:44","User_82****","흔들리는 갈대 (ISFP)","과시/투기","명품/골프","재물운 합(횡재수)","45","N3","한도 관리 알림"
"오후 2:28:40","User_82****","흔들리는 갈대 (ISFP)","미래 준비","예적금/보험","명예운 합(승진/명예)","57","N3","맞춤 상품 추천"
"오후 2:28:39","User_82****","흔들리는 갈대 (ISFP)","미래 준비","예적금/보험","명예운 합(승진/명예)","47","N3","맞춤 상품 추천"
"오후 2:28:39","User_82****","위험한 승부사 (ESTP)","이동/이사","항공/이사","명예운 합(승진/명예)","37","N4","맞춤 상품 추천"
"오후 2:28:38","User_82****","위험한 승부사 (ESTP)","충동/유흥","주점/클럽","재물운 합(횡재수)","24","N4","한도 관리 알림"
"오후 2:28:37","User_82****","위험한 승부사 (ESTP)","금융/부채","현금서비스/리볼빙","재물운 충(손재수)","39","N4","한도 관리 알림"
